sequence,Total_Frames,Obs_Risk_Positive_Ratio,Prior_Risk_Positive_Ratio
bleach0_black10,663,96.83%,96.38%
bleach0_black10_2,663,78.43%,82.35%
bleach0_black10_3,663,57.16%,61.99%
bleach0_black10_4,663,96.08%,95.93%
bleach0_black10_5,663,72.40%,75.26%
bleach0_clean,663,26.24%,31.52%
bleach0_drop60,663,99.10%,99.25%
bleach0_occ40,663,28.36%,30.02%
bleach0_occ60,663,96.68%,94.57%
bleach_hard_00_03_chaitanya_black10,441,90.48%,90.48%
bleach_hard_00_03_chaitanya_black10_2,441,66.67%,66.67%
bleach_hard_00_03_chaitanya_black10_3,441,65.08%,66.89%
bleach_hard_00_03_chaitanya_black10_4,441,69.16%,69.84%
bleach_hard_00_03_chaitanya_black10_5,441,86.85%,86.62%
bleach_hard_00_03_chaitanya_clean,441,64.63%,66.21%
bleach_hard_00_03_chaitanya_drop60,441,99.77%,99.77%
bleach_hard_00_03_chaitanya_occ40,441,86.17%,86.85%
bleach_hard_00_03_chaitanya_occ60,441,91.61%,91.84%
mustard0_black10,737,86.43%,86.43%
mustard0_black10_2,737,6.92%,7.46%
mustard0_black10_3,737,24.42%,24.02%
mustard0_black10_4,737,89.82%,89.69%
mustard0_black10_5,737,9.77%,9.23%
mustard0_clean,737,7.33%,7.73%
mustard0_drop60,737,94.57%,96.34%
mustard0_occ40,737,13.03%,19.67%
mustard0_occ60,737,41.11%,40.98%
mustard_easy_00_02_black10,689,3.05%,1.16%
mustard_easy_00_02_black10_2,689,2.76%,1.89%
mustard_easy_00_02_black10_3,689,3.05%,1.02%
mustard_easy_00_02_black10_4,689,3.05%,2.61%
mustard_easy_00_02_black10_5,689,2.76%,2.32%
mustard_easy_00_02_clean,689,1.74%,1.60%
mustard_easy_00_02_drop60,689,99.71%,99.71%
mustard_easy_00_02_occ40,689,1.74%,1.74%
mustard_easy_00_02_occ60,689,85.34%,85.34%
